latitude,longitude,
47.58927,7.82026,"{ lat: 49.31616,  lng: 8.5579 },"
47.58851,7.81703,"{ lat: 49.31616,  lng: 8.5579 },"
47.58671,7.81403,"{ lat: 49.31616,  lng: 8.5579 },"
47.5802,7.80903,"{ lat: 49.31616,  lng: 8.5579 },"
47.57852,7.80609,"{ lat: 49.31616,  lng: 8.5579 },"
47.57711,7.79875,"{ lat: 49.31616,  lng: 8.5579 },"
47.57835,7.7953,"{ lat: 49.31616,  lng: 8.5579 },"
47.57729,7.79555,"{ lat: 49.31616,  lng: 8.5579 },"
47.57684,7.79506,"{ lat: 49.31616,  lng: 8.5579 },"
47.5746,7.77783,"{ lat: 49.31616,  lng: 8.5579 },"
47.5689,7.77809,"{ lat: 49.31616,  lng: 8.5579 },"
47.5668,7.77598,"{ lat: 49.31616,  lng: 8.5579 },"
47.56613,7.77174,"{ lat: 49.31616,  lng: 8.5579 },"
47.5649,7.77298,"{ lat: 49.31616,  lng: 8.5579 },"
47.56419,7.77244,"{ lat: 49.31616,  lng: 8.5579 },"
47.56458,7.76892,"{ lat: 49.31616,  lng: 8.5579 },"
47.5634,7.76193,"{ lat: 49.31616,  lng: 8.5579 },"
47.56238,7.75962,"{ lat: 49.31616,  lng: 8.5579 },"
47.56271,7.75584,"{ lat: 49.31616,  lng: 8.5579 },"
47.55666,7.74021,"{ lat: 49.31616,  lng: 8.5579 },"
47.55699,7.73421,"{ lat: 49.31616,  lng: 8.5579 },"
47.55644,7.73033,"{ lat: 49.31616,  lng: 8.5579 },"
47.5528,7.72656,"{ lat: 49.31616,  lng: 8.5579 },"
47.55094,7.72078,"{ lat: 49.31616,  lng: 8.5579 },"
47.54778,7.70617,"{ lat: 49.31616,  lng: 8.5579 },"
47.54714,7.70539,"{ lat: 49.31616,  lng: 8.5579 },"
47.54869,7.69408,"{ lat: 49.31616,  lng: 8.5579 },"
47.55107,7.68946,"{ lat: 49.31616,  lng: 8.5579 },"
47.55162,7.68604,"{ lat: 49.31616,  lng: 8.5579 },"
47.55114,7.6809,"{ lat: 49.31616,  lng: 8.5579 },"
47.55129,7.66706,"{ lat: 49.31616,  lng: 8.5579 },"
47.55278,7.66155,"{ lat: 49.31616,  lng: 8.5579 },"
47.55422,7.65385,"{ lat: 49.31616,  lng: 8.5579 },"
